  Batch 50/1316, Loss: 0.4667 
  Batch 60/1316, Loss: 0.4673 
  Batch 70/1316, Loss: 0.4677 
  Batch 80/1316, Loss: 0.4680 
  Batch 90/1316, Loss: 0.4682 
  Batch 100/1316, Loss: 0.4685 
  Batch 110/1316, Loss: 0.4686 
  Batch 120/1316, Loss: 0.4687 
  Batch 130/1316, Loss: 0.4688 
  Batch 140/1316, Loss: 0.4689 
  Batch 150/1316, Loss: 0.4689 
  Batch 160/1316, Loss: 0.4689 
  Batch 170/1316, Loss: 0.4690 
  Batch 180/1316, Loss: 0.4690 
  Batch 190/1316, Loss: 0.4689 
  Batch 200/1316, Loss: 0.4688 
  Batch 210/1316, Loss: 0.4687 
  Batch 220/1316, Loss: 0.4687 
  Batch 230/1316, Loss: 0.4685 
  Batch 240/1316, Loss: 0.4685 
  Batch 250/1316, Loss: 0.4684 
  Batch 260/1316, Loss: 0.4684 
  Batch 270/1316, Loss: 0.4683 
  Batch 280/1316, Loss: 0.4682 
  Batch 290/1316, Loss: 0.4681 
  Batch 300/1316, Loss: 0.4681 
  Batch 310/1316, Loss: 0.4679 
  Batch 320/1316, Loss: 0.4677 
  Batch 330/1316, Loss: 0.4677 
  Batch 340/1316, Loss: 0.4676 
  Batch 350/1316, Loss: 0.4675 
  Batch 360/1316, Loss: 0.4673 
  Batch 370/1316, Loss: 0.4671 
  Batch 380/1316, Loss: 0.4669 
  Batch 390/1316, Loss: 0.4667 
  Batch 400/1316, Loss: 0.4666 
  Batch 410/1316, Loss: 0.4664 
  Batch 420/1316, Loss: 0.4664 
  Batch 430/1316, Loss: 0.4663 
  Batch 440/1316, Loss: 0.4661 
  Batch 450/1316, Loss: 0.4660 
  Batch 460/1316, Loss: 0.4658 
  Batch 470/1316, Loss: 0.4658 
  Batch 480/1316, Loss: 0.4656 
  Batch 490/1316, Loss: 0.4655 
  Batch 500/1316, Loss: 0.4653 
  Batch 510/1316, Loss: 0.4652 
  Batch 520/1316, Loss: 0.4650 
  Batch 530/1316, Loss: 0.4648 
  Batch 540/1316, Loss: 0.4646 
  Batch 550/1316, Loss: 0.4644 
  Batch 560/1316, Loss: 0.4642 
  Batch 570/1316, Loss: 0.4640 
  Batch 580/1316, Loss: 0.4639 
  Batch 590/1316, Loss: 0.4636 
  Batch 600/1316, Loss: 0.4634 
  Batch 610/1316, Loss: 0.4632 
  Batch 620/1316, Loss: 0.4630 
  Batch 630/1316, Loss: 0.4628 
  Batch 640/1316, Loss: 0.4625 
  Batch 650/1316, Loss: 0.4623 
  Batch 660/1316, Loss: 0.4621 
  Batch 670/1316, Loss: 0.4618 
  Batch 680/1316, Loss: 0.4614 
  Batch 690/1316, Loss: 0.4612 
  Batch 700/1316, Loss: 0.4610 
  Batch 710/1316, Loss: 0.4608 
  Batch 720/1316, Loss: 0.4606 
  Batch 730/1316, Loss: 0.4604 
  Batch 740/1316, Loss: 0.4602 
  Batch 750/1316, Loss: 0.4599 
  Batch 760/1316, Loss: 0.4597 
  Batch 770/1316, Loss: 0.4595 
  Batch 780/1316, Loss: 0.4593 
  Batch 790/1316, Loss: 0.4590 
  Batch 800/1316, Loss: 0.4588 
  Batch 810/1316, Loss: 0.4585 
  Batch 820/1316, Loss: 0.4582 
  Batch 830/1316, Loss: 0.4581 
  Batch 840/1316, Loss: 0.4578 
  Batch 850/1316, Loss: 0.4576 
  Batch 860/1316, Loss: 0.4573 
  Batch 870/1316, Loss: 0.4583 
  Batch 880/1316, Loss: 0.4600 
  Batch 890/1316, Loss: 0.4614 
  Batch 900/1316, Loss: 0.4625 
  Batch 910/1316, Loss: 0.4636 
  Batch 920/1316, Loss: 0.4646 
  Batch 930/1316, Loss: 0.4654 
  Batch 940/1316, Loss: 0.4659 
  Batch 950/1316, Loss: 0.4663 
  Batch 960/1316, Loss: 0.4666 
  Batch 970/1316, Loss: 0.4669 
  Batch 980/1316, Loss: 0.4671 
  Batch 990/1316, Loss: 0.4675 
  Batch 1000/1316, Loss: 0.4678 
  Batch 1010/1316, Loss: 0.4679 
  Batch 1020/1316, Loss: 0.4681 
  Batch 1030/1316, Loss: 0.4682 
  Batch 1040/1316, Loss: 0.4682 
  Batch 1050/1316, Loss: 0.4684 
  Batch 1060/1316, Loss: 0.4686 
  Batch 1070/1316, Loss: 0.4687 
  Batch 1080/1316, Loss: 0.4688 
  Batch 1090/1316, Loss: 0.4688 
  Batch 1100/1316, Loss: 0.4689 
  Batch 1110/1316, Loss: 0.4690 
  Batch 1120/1316, Loss: 0.4691 
  Batch 1130/1316, Loss: 0.4692 
  Batch 1140/1316, Loss: 0.4692 
  Batch 1150/1316, Loss: 0.4692 
  Batch 1160/1316, Loss: 0.4693 
  Batch 1170/1316, Loss: 0.4694 
  Batch 1180/1316, Loss: 0.4694 
  Batch 1190/1316, Loss: 0.4695 
  Batch 1200/1316, Loss: 0.4695 
  Batch 1210/1316, Loss: 0.4694 
  Batch 1220/1316, Loss: 0.4694 
  Batch 1230/1316, Loss: 0.4692 
  Batch 1240/1316, Loss: 0.4692 
  Batch 1250/1316, Loss: 0.4691 
  Batch 1260/1316, Loss: 0.4690 
  Batch 1270/1316, Loss: 0.4688 
  Batch 1280/1316, Loss: 0.4688 
  Batch 1290/1316, Loss: 0.4688 
  Batch 1300/1316, Loss: 0.4686 
  Batch 1310/1316, Loss: 0.4685 
  Training Loss: 0.4658 
  Validation Loss: 0.4652 
  Validation Accuracy: 0.8132 
Epoch 8/10 
  Batch 0/1316, Loss: 0.4622 
  Batch 10/1316, Loss: 0.4639 
  Batch 20/1316, Loss: 0.4649 
  Batch 30/1316, Loss: 0.4656 
  Batch 40/1316, Loss: 0.4660 
  Batch 50/1316, Loss: 0.4664 
  Batch 60/1316, Loss: 0.4666 
  Batch 70/1316, Loss: 0.4667 
  Batch 80/1316, Loss: 0.4667 
  Batch 90/1316, Loss: 0.4667 
  Batch 100/1316, Loss: 0.4666 
  Batch 110/1316, Loss: 0.4666 
  Batch 120/1316, Loss: 0.4665 
  Batch 130/1316, Loss: 0.4664 
  Batch 140/1316, Loss: 0.4663 
  Batch 150/1316, Loss: 0.4662 
  Batch 160/1316, Loss: 0.4662 
  Batch 170/1316, Loss: 0.4661 
  Batch 180/1316, Loss: 0.4660 
  Batch 190/1316, Loss: 0.4658 
  Batch 200/1316, Loss: 0.4657 
